"SORT","TECTNO","TECTCODE","TECTNAME","TECTTYPE","LITHOLOGY","TECTSETTIN","TSETT_QUAL","PARENTCODE","PARENTNAME","PARENTTYPE","STATE","WATECTUNIT","SSUITE_TEC","SUITE_TEC","CRATON","SUPERTERRA","CRATON_TER","DOMAIN_","GREENSTONE","SUPERBASIN","BASIN","SUBBASIN","SUBBASIN_E","OROGEN","PROVINCE","PROV_TZONE","TECT_SUBDI","OROG_FOR","OROG_FORSU","IN_OUTLIER","EVENTS","ERA_FROM","ERA_TO","MAX_AGE_MA","MIN_AGE_MA","TECTCOLOUR","SYMBOL"
"48","15","AFO","Albany-Fraser Orogen","Orogen","igneous and metamorphic rocks","orogen","undivided","WAC","West Australian Craton","WA Unit","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma)","Mesoarchean","Mesoproterozoic","3000","1100","AP_-im","ARCHEAN-PROTEROZOIC; igneous and metamorphic rocks"
"26","226","AFOA","Arid Basin","Basin","igneous, sedimentary, and metamorphic rocks","basin","marginal basin","AFO","Albany-Fraser Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Arid Basin","","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma)","Mesoproterozoic","Mesoproterozoic","1600","1305","P_M-ism","MESOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","227","AFOB","Barren Basin","Basin","igneous, sedimentary, and metamorphic rocks","basin","continental rift","AFO","Albany-Fraser Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Barren Basin","","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma)","Paleoproterozoic","Paleoproterozoic","1800","1600","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"22","229","AFOBW","Woodline Sub-basin","Sub-basin","sedimentary rocks","basin","continental margin","AFOB","Barren Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Barren Basin","Woodline Sub-basin","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma)","Paleoproterozoic","Paleoproterozoic","1650","1600","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"49","23","AFON","Northern Foreland, Albany-Fraser Orogen","Orogenic Foreland","igneous and metamorphic rocks","craton","undivided","AFO","Albany-Fraser Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","","","","Northern Foreland, Albany-Fraser Orogen","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma)","Neoarchean","Mesoproterozoic","2800","1140","AP_M-im","ARCHEAN-MESOPROTEROZOIC; igneous and metamorphic rocks"
"26","228","AFOR","Ragged Basin","Basin","igneous, sedimentary, and metamorphic rocks","basin","intracratonic basin","AFO","Albany-Fraser Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Ragged Basin","","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma)","Mesoproterozoic","Mesoproterozoic","1310","1220","P_M-ism","MESOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"31","107","AI","Aileron Province","Province","igneous and metamorphic rocks","orogen","undivided","ARO","Arunta Orogen","Orogen","Western Australia","North Australian Craton","","","","","","","","","","","","Arunta Orogen","Aileron Province","","","","","","Alice Springs Orogeny (450 - 295 Ma); Chewings Orogeny (1590 - 1570 Ma); Strangways Event (1735 - 1690 Ma); Yambah Event (1780 - 1770 Ma); Stafford Event (1810 - 1790 Ma)","Paleoproterozoic","Paleoproterozoic","2500","1700","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"21","30","AS","Ashburton Basin","Basin","sedimentary and volcanic rocks","basin","intracratonic basin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Ashburton Basin","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Ashburton Fold Belt D3a (1784 - 1772 Ma); Ashburton Fold Belt D2a/M2a (1786 - 1784 Ma); Ashburton Fold Belt D1a/M1a (1794 - 1784 Ma); Capricorn Orogeny (1817 - 1772 Ma)","Paleoproterozoic","Paleoproterozoic","1806","1799","P_P-sv","PALEOPROTEROZOIC; sedimentary and volcanic rocks"
"16","91","BD","Badgeradda Basin","Basin","sedimentary rocks","basin","undivided","PJO","Pinjarra Orogen","Orogen","Western Australia","","","","","","","","","","Badgeradda Basin","","","Pinjarra Orogen","","","","","","","Leeuwin Orogeny (780 - 515 Ma)","Neoproterozoic","Neoproterozoic","1000","541","P_N-s","NEOPROTEROZOIC; sedimentary rocks"
"22","117","BE","Bresnahan Basin","Basin","sedimentary rocks","basin","intracratonic basin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Bresnahan Basin","","","Capricorn Orogen","","","","","","","Mangaroon Orogeny (1682 - 1619 Ma); Mangaroon Orogeny D2m/M2m (1677 - 1659 Ma); Mangaroon Orogeny D1m/M1m (1682 - 1677 Ma)","Paleoproterozoic","Paleoproterozoic","1800","1600","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"24","306","BG","Bridget Suite","Suite","granitic rocks","igneous","undivided","WAC","West Australian Craton","WA Unit","Western Australia","West Australian Craton","","Bridget Suite","","","","","","","","","","","","","","","","","Western Australian Craton events (4000 - 570 Ma)","Paleoproterozoic","Paleoproterozoic","1803","1803","P_P-g","PALEOPROTEROZOIC; granitic rocks"
"21","31","BL","Blair Basin","Basin","sedimentary and volcanic rocks","basin","intracratonic basin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Blair Basin","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Capricorn Orogeny (1817 - 1772 Ma)","Paleoproterozoic","Paleoproterozoic","1806","1799","P_P-sv","PALEOPROTEROZOIC; sedimentary and volcanic rocks"
"5","199","BOB","Burt Range Shelf","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","SBO","Southern Bonaparte Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Bonaparte Basin","Burt Range Shelf","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Gondwana breakup - northern NW Shelf (320 - 138 Ma)","Paleozoic","Paleozoic","515","252","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"5","198","BOC","Carlton Shelf","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","SBO","Southern Bonaparte Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Bonaparte Basin","Carlton Shelf","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Gondwana breakup - northern NW Shelf (320 - 138 Ma)","Paleozoic","Paleozoic","515","252","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"5","197","BOG","Southern Bonaparte Basin, Ragged Range Outlier","Inlier/Outlier","sedimentary and volcanic rocks","basin","continental rift","SBO","Southern Bonaparte Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Bonaparte Basin","","","","","","","","","Southern Bonaparte Basin, Ragged Range Outlier","Alice Springs Orogeny (450 - 295 Ma)","Paleozoic","Paleozoic","515","359","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"4","196","BOR","Southern Bonaparte Basin, Mount Rob Outlier","Inlier/Outlier","sedimentary rocks","basin","continental rift","SBO","Southern Bonaparte Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Bonaparte Basin","","","","","","","","","Southern Bonaparte Basin, Mount Rob Outlier","Alice Springs Orogeny (450 - 295 Ma)","Paleozoic","Paleozoic","515","359","PZ-s","PALEOZOIC; sedimentary rocks"
"43","318","BR","Mount Billroth Supersuite","Supersuite","granitic rocks","igneous","undivided","P","Pilbara Craton","Craton","Western Australia","West Australian Craton","Mount Billroth Supersuite","","Pilbara Craton","","","","","","","","","","","","","","","","Fortescue Rifting Event (2775 - 2752 Ma); North Pilbara Orogeny (2955 - 2919 Ma); Prinsep Orogeny (3068 - 3066 Ma); Karratha Event (3160 - 3140 Ma)","Mesoarchean","Mesoarchean","3199","3164","AM-g","MESOARCHEAN; granitic rocks"
"20","389","BS","Bastion Basin","Basin","sedimentary rocks","basin","intracratonic basin","NAC","North Australian Craton","WA Unit","Western Australia","North Australian Craton","","","","","","","","","Bastion Basin","","","","","","","","","","North Australian Craton events (2500 - 250 Ma)","Paleoproterozoic","Neoproterozoic","1797","541","P_M-s","MESOPROTEROZOIC; sedimentary rocks"
"2","139","BTB","Bremer Sub-basin","Sub-basin","sedimentary rocks","basin","proto-oceanic rift","BT","Bight Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Bight Basin","Bremer Sub-basin","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma)","Mesozoic","Mesozoic","175","66","MZ-s","MESOZOIC; sedimentary rocks"
"3","140","BTC","Ceduna Sub-basin","Sub-basin","sedimentary and volcanic rocks","basin","proto-oceanic rift","BT","Bight Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Bight Basin","Ceduna Sub-basin","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma)","Mesozoic","Mesozoic","175","66","MZ-sv","MESOZOIC; sedimentary and volcanic rocks"
"2","142","BTD","Denmark Sub-basin","Sub-basin","sedimentary rocks","basin","proto-oceanic rift","BT","Bight Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Bight Basin","Denmark Sub-basin","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma)","Mesozoic","Mesozoic","175","66","MZ-s","MESOZOIC; sedimentary rocks"
"2","143","BTE","Eyre Sub-basin","Sub-basin","sedimentary rocks","basin","undivided","BT","Bight Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Bight Basin","Eyre Sub-basin","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma)","Mesozoic","Mesozoic","145","66","MZ-s","MESOZOIC; sedimentary rocks"
"2","138","BTM","Madura Shelf","Sub-basin","sedimentary rocks","basin","continental margin","BT","Bight Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Bight Basin","Madura Shelf","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma)","Mesozoic","Mesozoic","145","66","MZ-s","MESOZOIC; sedimentary rocks"
